Ref,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,CAP_CL21_SAM-M,59.15,-42.2294,-90,top
C2,0.1uF,CAP_CL21_SAM-M,70.6,-80.2294,90,top
C3,0.1uF,CAP_CL21_SAM-M,59.2,-51.9706,-90,top
C4,0.1uF,CAP_CL21_SAM-M,59,-61.7706,-90,top
C5,0.1uF,CAP_CL21_SAM-M,59,-71.3706,-90,top
C6,0.1uF,CAP_CL21_SAM-M,70.6,-89.4294,90,top
C7,0.1uF,CAP_CL21_SAM-M,70.6,-99.8294,90,top
C8,0.1uF,CAP_CL21_SAM-M,70.2,-109.6294,90,top
C9,0.1uF,CAP_CL21_SAM-M,80.2,-42.7706,-90,top
C10,0.1uF,CAP_CL21_SAM-M,80.4,-52.2294,-90,top
C11,0.1uF,CAP_CL21_SAM-M,80.4,-62.5706,-90,top
C12,0.1uF,CAP_CL21_SAM-M,80.4,-71.6,-90,top
C13,0.1uF,CAP_CL21_SAM-M,91.4,-82.0294,90,top
C14,0.1uF,CAP_CL21_SAM-M,91.4,-92.0294,90,top
C15,0.1uF,CAP_CL21_SAM-M,91.6,-102.2294,90,top
C16,0.1uF,CAP_CL21_SAM-M,91.4,-111.6294,90,top
C17,0.1uF,CAP_CL21_SAM-M,103.6,-42.0294,-90,top
C18,0.1uF,CAP_CL21_SAM-M,103.6,-51.5706,-90,top
C19,0.1uF,CAP_CL21_SAM-M,103.6,-60.7706,-90,top
C20,0.1uF,CAP_CL21_SAM-M,103.4,-71.9706,-90,top
C21,0.1uF,CAP_CL21_SAM-M,114.4,-82.2294,90,top
C22,0.1uF,CAP_CL21_SAM-M,114.4,-91.4294,90,top
C23,0.1uF,CAP_CL21_SAM-M,114.6,-101.2294,90,top
C24,0.1uF,CAP_CL21_SAM-M,114.6,-111.3706,90,top
C25,0.1uF,CAP_CL21_SAM-M,125.2,-41.1706,-90,top
C26,0.1uF,CAP_CL21_SAM-M,125.2,-51.2,-90,top
C27,0.1uF,CAP_CL21_SAM-M,125.2,-61.0294,-90,top
C28,0.1uF,CAP_CL21_SAM-M,125.2,-70.4294,-90,top
C29,0.1uF,CAP_CL21_SAM-M,135.8,-81.4,90,top
C30,0.1uF,CAP_CL21_SAM-M,135.4,-91.4294,90,top
C31,0.1uF,CAP_CL21_SAM-M,135.2,-100.8294,90,top
C32,0.1uF,CAP_CL21_SAM-M,135.2,-110.6294,90,top
C33,0.1uF,CAP_CL21_SAM-M,148.6,-40.5706,-90,top
C34,0.1uF,CAP_CL21_SAM-M,148.6,-50.2,-90,top
C35,0.1uF,CAP_CL21_SAM-M,148.6,-60.3706,-90,top
C36,0.1uF,CAP_CL21_SAM-M,148.6,-70.0294,-90,top
C37,0.1uF,CAP_CL21_SAM-M,159.8,-82.0294,90,top
C38,0.1uF,CAP_CL21_SAM-M,160,-92.0294,90,top
C39,0.1uF,CAP_CL21_SAM-M,160,-102.0294,90,top
C40,0.1uF,CAP_CL21_SAM-M,160,-111.6294,90,top
C41,4.7uF,CP_Axial_L10.0mm_D4.5mm_P15.00mm_Horizontal,26.3,-25.2425,0,top
C42,4.7uF,CP_Axial_L10.0mm_D4.5mm_P15.00mm_Horizontal,41.5,-31.9575,180,top
IC1,LM2937ET-3.3_NOPB,TO254P470X1028X1955-3P,28.46,-39.25,0,top
R1,10k,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,70.95,-38.8,-90,top
R2,10k,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,58.6,-84.4,90,top
R3,10k,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,71,-48.58,-90,top
R4,10k,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,71,-58.4,-90,top
R5,10k,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,71,-68.2,-90,top
R6,10k,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,58.6,-94.22,90,top
R7,10k,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,58.6,-104.01,90,top
R8,10k,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,58.6,-113.8,90,top
R9,10k,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,92.2,-38.99,-90,top
R10,10k,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,92.2,-48.8,-90,top
R11,10k,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,92.2,-58.6,-90,top
R12,10k,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,92.2,-68.4,-90,top
R13,10k,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,79.4,-85.82,90,top
R14,10k,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,79.4,-95.62,90,top
R15,10k,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,79.4,-105.62,90,top
R16,10k,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,79.4,-115.42,90,top
